,vessel_type,vessel_group,#subtracks,mean_length,median_length,start_time,end_time
3669881,0.0,Unknown,1,1241.0,1241.0,2022-01-01 00:00:03,2022-01-01 23:59:55
3669882,0.0,Unknown,1,1248.0,1248.0,2022-01-01 00:00:08,2022-01-01 23:59:29
3669884,0.0,Unknown,1,1218.0,1218.0,2022-01-01 00:00:07,2022-01-01 23:59:58
12345678,32.0,Towing,1,1193.0,1193.0,2022-01-01 00:00:02,2022-01-01 23:58:52
122292919,50.0,Other,23,54.17391304347826,1.0,2022-01-01 00:00:02,2022-01-01 23:58:54
191283710,30.0,Fishing,1,1167.0,1167.0,2022-01-01 00:00:04,2022-01-01 23:59:54
210000000,31.0,Towing,1,1170.0,1170.0,2022-01-01 00:00:02,2022-01-01 23:59:42
210285000,89.0,Other,116,10.767241379310345,1.0,2022-01-01 00:00:07,2022-01-01 23:59:16
210347000,70.0,Cargo,905,1.1900552486187845,1.0,2022-01-01 00:00:03,2022-01-01 23:59:21
210377000,70.0,Cargo,1,1185.0,1185.0,2022-01-01 00:00:03,2022-01-01 23:59:03
211331640,70.0,Cargo,1,1251.0,1251.0,2022-01-01 00:00:07,2022-01-01 23:59:18
212347000,70.0,Cargo,1,1216.0,1216.0,2022-01-01 00:00:07,2022-01-01 23:59:07
212917000,70.0,Cargo,898,1.1614699331848553,1.0,2022-01-01 00:01:18,2022-01-01 23:59:19
215035000,70.0,Cargo,403,2.662531017369727,1.0,2022-01-01 00:00:00,2022-01-01 23:59:50
215185000,71.0,Cargo,830,1.2289156626506024,1.0,2022-01-01 00:00:01,2022-01-01 23:59:41
215189000,71.0,Cargo,81,16.012345679012345,1.0,2022-01-01 00:00:02,2022-01-01 23:59:02
215230000,70.0,Cargo,103,11.728155339805825,1.0,2022-01-01 00:00:08,2022-01-01 23:59:58
215797000,70.0,Cargo,998,1.2354709418837675,1.0,2022-01-01 00:00:02,2022-01-01 23:58:41
219025316,80.0,Other,357,2.899159663865546,1.0,2022-01-01 00:00:02,2022-01-01 23:59:48
219253000,80.0,Other,1204,1.041528239202658,1.0,2022-01-01 00:00:07,2022-01-01 23:59:23
220258000,80.0,Other,1100,1.0563636363636364,1.0,2022-01-01 00:02:22,2022-01-01 23:59:33
220580000,90.0,Other,1,1050.0,1050.0,2022-01-01 00:01:51,2022-01-01 23:59:49
228308600,90.0,Other,1,1253.0,1253.0,2022-01-01 00:00:09,2022-01-01 23:59:27
229380000,70.0,Cargo,299,4.224080267558528,1.0,2022-01-01 00:00:07,2022-01-01 23:59:06
229606000,80.0,Other,1,1190.0,1190.0,2022-01-01 00:00:03,2022-01-01 23:59:02
232037842,37.0,Other,1,1143.0,1143.0,2022-01-01 00:00:02,2022-01-01 23:59:11
235009240,70.0,Cargo,1,1188.0,1188.0,2022-01-01 00:00:03,2022-01-01 23:59:53
235053116,90.0,Other,1,1057.0,1057.0,2022-01-01 00:00:53,2022-01-01 23:58:56
235086316,37.0,Other,1,1202.0,1202.0,2022-01-01 00:00:53,2022-01-01 23:59:45
241116000,70.0,Cargo,863,1.2108922363847046,1.0,2022-01-01 00:00:58,2022-01-01 23:57:23
241236000,80.0,Other,915,1.1311475409836065,1.0,2022-01-01 00:57:46,2022-01-01 23:59:15
244561000,70.0,Cargo,131,9.114503816793894,1.0,2022-01-01 00:00:03,2022-01-01 23:58:51
244780813,34.0,Other,1,1258.0,1258.0,2022-01-01 00:00:03,2022-01-01 23:58:57
245347000,70.0,Cargo,684,1.817251461988304,1.0,2022-01-01 00:00:03,2022-01-01 23:59:22
247405800,70.0,Cargo,1086,1.1767955801104972,1.0,2022-01-01 00:01:00,2022-01-01 23:59:12
249405000,80.0,Other,706,1.6657223796033995,1.0,2022-01-01 00:01:58,2022-01-01 23:59:17
249509000,70.0,Cargo,854,1.3583138173302107,1.0,2022-01-01 00:00:03,2022-01-01 23:57:22
255805803,70.0,Cargo,8,141.0,1.0,2022-01-01 00:00:34,2022-01-01 23:59:06
255806028,71.0,Cargo,1,1259.0,1259.0,2022-01-01 00:00:05,2022-01-01 23:59:26
255806494,71.0,Cargo,977,1.2047082906857727,1.0,2022-01-01 00:00:44,2022-01-01 23:59:14
257073920,99.0,Other,17,71.58823529411765,2.0,2022-01-01 00:00:02,2022-01-01 23:59:58
258009000,70.0,Cargo,871,1.425947187141217,1.0,2022-01-01 00:01:10,2022-01-01 23:59:27
258215000,60.0,Passenger,430,2.6651162790697676,1.0,2022-01-01 00:01:23,2022-01-01 23:59:16
259006000,70.0,Cargo,1,1271.0,1271.0,2022-01-01 00:00:03,2022-01-01 23:59:35
267188530,31.0,Towing,1,1172.0,1172.0,2022-01-01 00:00:58,2022-01-01 23:59:50
271046486,80.0,Other,849,1.3191990577149588,1.0,2022-01-01 00:00:04,2022-01-01 23:57:07
303029000,31.0,Towing,980,1.2846938775510204,1.0,2022-01-01 00:00:04,2022-01-01 23:59:24
303104000,80.0,Other,1006,1.0,1.0,2022-01-01 00:00:00,2022-01-01 23:59:15
303210000,70.0,Cargo,204,5.946078431372549,1.0,2022-01-01 00:00:54,2022-01-01 23:59:24
303250000,0.0,Unknown,37,27.405405405405407,1.0,2022-01-01 00:01:11,2022-01-01 23:59:04
303411000,90.0,Other,1,1113.0,1113.0,2022-01-01 00:00:03,2022-01-01 23:59:13
303457000,52.0,Tug,128,9.0234375,1.0,2022-01-01 00:00:39,2022-01-01 23:59:14
303461000,31.0,Towing,1,1256.0,1256.0,2022-01-01 00:00:10,2022-01-01 23:59:19
303520000,80.0,Other,1133,1.05648720211827,1.0,2022-01-01 00:01:06,2022-01-01 23:58:27
303589000,90.0,Other,187,6.866310160427807,1.0,2022-01-01 00:00:03,2022-01-01 23:59:00
303606000,31.0,Towing,1,1029.0,1029.0,2022-01-01 00:12:08,2022-01-01 23:59:38
303636000,30.0,Fishing,1,1210.0,1210.0,2022-01-01 00:00:06,2022-01-01 23:59:06
303682000,37.0,Other,1,1110.0,1110.0,2022-01-01 00:00:52,2022-01-01 23:59:53
303865000,90.0,Other,904,1.2300884955752212,1.0,2022-01-01 00:00:01,2022-01-01 23:58:27
303870000,90.0,Other,1,1235.0,1235.0,2022-01-01 00:00:01,2022-01-01 23:59:53
304972000,79.0,Cargo,272,4.323529411764706,1.0,2022-01-01 00:00:51,2022-01-01 23:58:47
309942000,70.0,Cargo,1061,1.2252591894439209,1.0,2022-01-01 00:00:00,2022-01-01 23:58:52
309951000,60.0,Passenger,1067,1.0,1.0,2022-01-01 00:00:02,2022-01-01 23:59:56
311000104,70.0,Cargo,1,1254.0,1254.0,2022-01-01 00:00:08,2022-01-01 23:59:38
311000111,80.0,Other,544,2.270220588235294,1.0,2022-01-01 00:00:05,2022-01-01 23:59:55
311000115,90.0,Other,1,1248.0,1248.0,2022-01-01 00:00:08,2022-01-01 23:59:29
311000223,80.0,Other,108,11.064814814814815,1.0,2022-01-01 00:00:57,2022-01-01 23:58:57
311000720,70.0,Cargo,1,1015.0,1015.0,2022-01-01 00:00:55,2022-01-01 23:57:26
311000759,70.0,Cargo,94,11.851063829787234,1.0,2022-01-01 02:30:01,2022-01-01 23:59:20
311000863,80.0,Other,245,4.204081632653061,1.0,2022-01-01 00:01:05,2022-01-01 23:58:56
311001094,60.0,Passenger,1193,1.0,1.0,2022-01-01 00:00:01,2022-01-01 23:59:23
311003500,70.0,Cargo,962,1.3253638253638254,1.0,2022-01-01 00:00:18,2022-01-01 23:58:51
311015300,80.0,Other,852,1.3509389671361502,1.0,2022-01-01 00:01:06,2022-01-01 23:58:15
311035600,70.0,Cargo,535,1.897196261682243,1.0,2022-01-01 00:01:04,2022-01-01 23:30:12
311048300,70.0,Cargo,224,5.598214285714286,1.0,2022-01-01 00:00:12,2022-01-01 23:59:08
311475000,70.0,Cargo,1020,1.0176470588235293,1.0,2022-01-01 00:00:02,2022-01-01 23:58:55
311646000,80.0,Other,60,19.9,1.0,2022-01-01 00:00:52,2022-01-01 23:59:35
311648000,80.0,Other,1,1039.0,1039.0,2022-01-01 00:00:51,2022-01-01 23:58:50
311702000,80.0,Other,1,1131.0,1131.0,2022-01-01 00:00:50,2022-01-01 23:59:28
311733000,60.0,Passenger,1024,1.103515625,1.0,2022-01-01 00:00:01,2022-01-01 23:59:54
311923000,80.0,Other,42,23.976190476190474,1.0,2022-01-01 00:00:53,2022-01-01 23:06:34
316001002,0.0,Unknown,1,1236.0,1236.0,2022-01-01 00:00:10,2022-01-01 23:59:50
316001068,31.0,Towing,1,1128.0,1128.0,2022-01-01 00:00:02,2022-01-01 23:58:32
316001096,31.0,Towing,1,1231.0,1231.0,2022-01-01 00:00:09,2022-01-01 23:59:28
316001221,31.0,Towing,25,48.44,1.0,2022-01-01 00:00:07,2022-01-01 23:59:07
316001268,60.0,Passenger,581,1.7314974182444063,1.0,2022-01-01 00:00:02,2022-01-01 23:58:58
316001269,60.0,Passenger,596,1.7147651006711409,1.0,2022-01-01 00:00:04,2022-01-01 23:59:13
316001633,70.0,Cargo,1,1196.0,1196.0,2022-01-01 00:00:15,2022-01-01 23:59:05
316001731,31.0,Towing,1,1213.0,1213.0,2022-01-01 00:00:19,2022-01-01 23:59:19
316001749,51.0,Other,46,25.5,1.0,2022-01-01 00:00:03,2022-01-01 23:59:04
316001821,30.0,Fishing,1,1201.0,1201.0,2022-01-01 00:00:05,2022-01-01 23:58:56
316001834,70.0,Cargo,852,1.4741784037558685,1.0,2022-01-01 00:00:08,2022-01-01 23:59:59
316001940,70.0,Cargo,175,5.988571428571428,1.0,2022-01-01 00:00:57,2022-01-01 23:59:34
316002063,31.0,Towing,1,1250.0,1250.0,2022-01-01 00:00:08,2022-01-01 23:59:19
316002238,31.0,Towing,1,1211.0,1211.0,2022-01-01 00:00:00,2022-01-01 23:59:11
316002280,79.0,Cargo,938,1.304904051172708,1.0,2022-01-01 00:00:01,2022-01-01 23:58:10
316002501,70.0,Cargo,1110,1.1261261261261262,1.0,2022-01-01 00:00:03,2022-01-01 23:59:13
316002873,31.0,Towing,1,1058.0,1058.0,2022-01-01 00:00:25,2022-01-01 23:58:45
316002974,30.0,Fishing,1,1187.0,1187.0,2022-01-01 00:00:26,2022-01-01 23:59:07
316003289,70.0,Cargo,209,5.741626794258373,1.0,2022-01-01 00:00:01,2022-01-01 23:58:55
316003351,30.0,Fishing,1,1179.0,1179.0,2022-01-01 00:00:05,2022-01-01 23:59:54
316003446,30.0,Fishing,1,1109.0,1109.0,2022-01-01 00:00:06,2022-01-01 23:58:55
316003527,30.0,Fishing,1,1196.0,1196.0,2022-01-01 00:00:07,2022-01-01 23:59:09
316003587,30.0,Fishing,1,1221.0,1221.0,2022-01-01 00:00:08,2022-01-01 23:59:28
316003616,31.0,Towing,1,1245.0,1245.0,2022-01-01 00:00:00,2022-01-01 23:59:24
316003659,31.0,Towing,1,1230.0,1230.0,2022-01-01 00:00:03,2022-01-01 23:59:13
316003664,31.0,Towing,1,1044.0,1044.0,2022-01-01 00:00:03,2022-01-01 23:58:54
316003667,31.0,Towing,43,26.58139534883721,1.0,2022-01-01 00:00:07,2022-01-01 23:59:30
316003669,31.0,Towing,7,155.42857142857142,1.0,2022-01-01 00:00:06,2022-01-01 23:59:17
316003703,30.0,Fishing,1,1184.0,1184.0,2022-01-01 00:00:05,2022-01-01 23:59:27
316003878,31.0,Towing,2,623.5,623.5,2022-01-01 00:00:10,2022-01-01 23:59:09
316003982,31.0,Towing,1,1220.0,1220.0,2022-01-01 00:00:06,2022-01-01 23:59:54
316004052,31.0,Towing,1,1251.0,1251.0,2022-01-01 00:00:02,2022-01-01 23:59:01
316004370,70.0,Cargo,1,1412.0,1412.0,2022-01-01 00:00:00,2022-01-01 23:59:51
316004658,31.0,Towing,10,111.8,1.0,2022-01-01 00:00:00,2022-01-01 23:59:38
316004787,30.0,Fishing,1,1179.0,1179.0,2022-01-01 00:00:03,2022-01-01 23:59:14
316004908,30.0,Fishing,1,1197.0,1197.0,2022-01-01 00:00:24,2022-01-01 23:59:02
316004932,52.0,Tug,1,1214.0,1214.0,2022-01-01 00:00:04,2022-01-01 23:59:04
316004950,70.0,Cargo,1,1251.0,1251.0,2022-01-01 00:00:05,2022-01-01 23:58:55
316005175,0.0,Unknown,1,1128.0,1128.0,2022-01-01 00:00:25,2022-01-01 23:57:55
316005416,31.0,Towing,1,1181.0,1181.0,2022-01-01 00:00:29,2022-01-01 23:59:00
316005417,31.0,Towing,1,1188.0,1188.0,2022-01-01 00:00:06,2022-01-01 23:58:51
316005444,30.0,Fishing,1,1166.0,1166.0,2022-01-01 00:00:05,2022-01-01 23:58:56
316005605,31.0,Towing,1,1092.0,1092.0,2022-01-01 00:00:23,2022-01-01 23:58:13
316005609,31.0,Towing,1,1207.0,1207.0,2022-01-01 00:00:01,2022-01-01 23:59:22
316005611,31.0,Towing,1,1180.0,1180.0,2022-01-01 00:00:05,2022-01-01 23:58:56
316005623,31.0,Towing,1,1209.0,1209.0,2022-01-01 00:00:07,2022-01-01 23:59:58
316005649,52.0,Tug,1,1227.0,1227.0,2022-01-01 00:00:00,2022-01-01 23:58:50
316005667,30.0,Fishing,1,1207.0,1207.0,2022-01-01 00:00:10,2022-01-01 23:59:06
316005716,52.0,Tug,24,48.458333333333336,1.0,2022-01-01 00:00:08,2022-01-01 23:59:24
316005717,52.0,Tug,21,52.333333333333336,1.0,2022-01-01 00:00:18,2022-01-01 23:58:26
316005718,52.0,Tug,1,1149.0,1149.0,2022-01-01 00:00:06,2022-01-01 23:59:18
316005721,31.0,Towing,18,61.94444444444444,1.0,2022-01-01 00:01:31,2022-01-01 23:59:01
316005724,31.0,Towing,2,522.0,522.0,2022-01-01 00:00:02,2022-01-01 23:59:42
316005728,31.0,Towing,4,251.25,198.5,2022-01-01 00:01:51,2022-01-01 23:59:20
316005768,30.0,Fishing,1,1121.0,1121.0,2022-01-01 00:01:19,2022-01-01 23:59:19
316005813,30.0,Fishing,1,1071.0,1071.0,2022-01-01 00:00:48,2022-01-01 23:59:59
316005971,31.0,Towing,1,1216.0,1216.0,2022-01-01 00:00:06,2022-01-01 23:59:58
316005998,30.0,Fishing,1,1197.0,1197.0,2022-01-01 00:00:31,2022-01-01 23:59:13
316006075,52.0,Tug,12,84.83333333333333,35.0,2022-01-01 00:01:00,2022-01-01 23:59:08
316006345,31.0,Towing,1,1178.0,1178.0,2022-01-01 00:00:05,2022-01-01 23:59:46
316006562,31.0,Towing,1,1211.0,1211.0,2022-01-01 00:00:08,2022-01-01 23:58:48
316007566,37.0,Other,99,10.464646464646465,1.0,2022-01-01 00:00:00,2022-01-01 23:59:07
316007587,30.0,Fishing,1,1168.0,1168.0,2022-01-01 00:00:13,2022-01-01 23:59:13
316009842,52.0,Tug,1,1101.0,1101.0,2022-01-01 00:00:48,2022-01-01 23:59:29
316009843,31.0,Towing,1,1021.0,1021.0,2022-01-01 00:00:09,2022-01-01 23:59:10
316009844,52.0,Tug,1,1110.0,1110.0,2022-01-01 00:00:16,2022-01-01 23:58:56
316011649,60.0,Passenger,1,1169.0,1169.0,2022-01-01 00:00:01,2022-01-01 23:59:00
316011905,70.0,Cargo,333,3.039039039039039,1.0,2022-01-01 00:00:06,2022-01-01 23:59:56
316011981,37.0,Other,1,1208.0,1208.0,2022-01-01 00:00:07,2022-01-01 23:59:26
316011982,50.0,Other,1,1217.0,1217.0,2022-01-01 00:00:06,2022-01-01 23:58:55
316013198,30.0,Fishing,1,1149.0,1149.0,2022-01-01 00:00:17,2022-01-01 23:58:05
316013431,50.0,Other,102,12.186274509803921,1.0,2022-01-01 00:00:04,2022-01-01 23:59:59
316013688,31.0,Towing,1,1202.0,1202.0,2022-01-01 00:00:00,2022-01-01 23:59:00
316013946,31.0,Towing,1,1162.0,1162.0,2022-01-01 00:01:39,2022-01-01 23:59:20
316014107,31.0,Towing,1,1219.0,1219.0,2022-01-01 00:00:06,2022-01-01 23:59:15
316014160,80.0,Other,797,1.5633626097867002,1.0,2022-01-01 00:00:13,2022-01-01 23:59:51
316014621,60.0,Passenger,454,2.70704845814978,1.0,2022-01-01 00:00:01,2022-01-01 23:59:23
316014750,30.0,Fishing,1,1217.0,1217.0,2022-01-01 00:00:08,2022-01-01 23:59:38
316014836,31.0,Towing,1,1120.0,1120.0,2022-01-01 00:00:36,2022-01-01 23:59:26
316015121,90.0,Other,17,67.17647058823529,1.0,2022-01-01 00:00:01,2022-01-01 23:59:42
316016013,31.0,Towing,1,1199.0,1199.0,2022-01-01 00:00:05,2022-01-01 23:59:24
316016328,52.0,Tug,1,1213.0,1213.0,2022-01-01 00:00:00,2022-01-01 23:59:00
316018477,70.0,Cargo,732,1.7431693989071038,1.0,2022-01-01 00:00:03,2022-01-01 23:59:07
316018604,31.0,Towing,1,1206.0,1206.0,2022-01-01 00:00:00,2022-01-01 23:58:48
316018851,31.0,Towing,232,5.172413793103448,1.0,2022-01-01 00:00:18,2022-01-01 23:59:45
316019447,30.0,Fishing,1,1222.0,1222.0,2022-01-01 00:00:09,2022-01-01 23:59:18
316020067,31.0,Towing,1,1106.0,1106.0,2022-01-01 00:00:22,2022-01-01 23:58:51
316020762,30.0,Fishing,1,1085.0,1085.0,2022-01-01 00:00:23,2022-01-01 23:58:34
316020868,31.0,Towing,1,1145.0,1145.0,2022-01-01 00:00:10,2022-01-01 23:59:52
316020871,31.0,Towing,124,9.814516129032258,1.0,2022-01-01 00:00:11,2022-01-01 23:59:35
316020878,31.0,Towing,1,1215.0,1215.0,2022-01-01 00:00:03,2022-01-01 23:59:04
316021279,31.0,Towing,1,1222.0,1222.0,2022-01-01 00:00:06,2022-01-01 23:59:15
316021988,60.0,Passenger,1,1198.0,1198.0,2022-01-01 00:00:03,2022-01-01 23:59:03
316022036,31.0,Towing,16,63.25,1.0,2022-01-01 00:00:25,2022-01-01 23:58:56
316022038,31.0,Towing,1,1168.0,1168.0,2022-01-01 00:00:15,2022-01-01 23:58:55
316022149,30.0,Fishing,1,1192.0,1192.0,2022-01-01 00:01:09,2022-01-01 23:58:49
316023341,70.0,Cargo,773,1.6144890038809832,1.0,2022-01-01 00:00:06,2022-01-01 23:58:56
316023452,30.0,Fishing,1,1119.0,1119.0,2022-01-01 00:00:20,2022-01-01 23:59:39
316023605,31.0,Towing,3,397.3333333333333,288.0,2022-01-01 00:00:00,2022-01-01 23:59:00
316023608,31.0,Towing,1,1094.0,1094.0,2022-01-01 00:00:16,2022-01-01 23:58:35
316023959,31.0,Towing,15,81.26666666666667,1.0,2022-01-01 00:00:06,2022-01-01 23:59:55
316024235,31.0,Towing,5,201.4,128.0,2022-01-01 00:00:09,2022-01-01 23:59:49
316024256,31.0,Towing,6,192.66666666666666,127.5,2022-01-01 00:00:02,2022-01-01 23:58:52
316027734,53.0,Passenger,1,1179.0,1179.0,2022-01-01 00:00:00,2022-01-01 23:59:39
316028504,31.0,Towing,1,1211.0,1211.0,2022-01-01 00:00:00,2022-01-01 23:59:09
316028554,60.0,Passenger,459,2.712418300653595,1.0,2022-01-01 00:00:08,2022-01-01 23:59:18
316028652,37.0,Other,1,1051.0,1051.0,2022-01-01 00:00:07,2022-01-01 23:59:07
316028702,52.0,Tug,68,17.823529411764707,1.0,2022-01-01 00:00:44,2022-01-01 23:58:55
316028909,99.0,Other,1,1038.0,1038.0,2022-01-01 00:00:17,2022-01-01 23:58:37
316030941,37.0,Other,71,15.352112676056338,5.0,2022-01-01 00:00:16,2022-01-01 23:58:57
316031354,70.0,Cargo,802,1.5436408977556109,1.0,2022-01-01 00:00:01,2022-01-01 23:59:38
316032594,99.0,Other,1,1203.0,1203.0,2022-01-01 00:00:09,2022-01-01 23:58:29
316033399,31.0,Towing,5,243.0,1.0,2022-01-01 00:00:03,2022-01-01 23:59:32
316034095,60.0,Passenger,1,1221.0,1221.0,2022-01-01 00:00:05,2022-01-01 23:58:54
316034963,52.0,Tug,1,1149.0,1149.0,2022-01-01 00:00:00,2022-01-01 23:58:59
316035905,70.0,Cargo,597,1.8040201005025125,1.0,2022-01-01 00:00:03,2022-01-01 23:59:56
316036228,70.0,Cargo,790,1.5341772151898734,1.0,2022-01-01 00:00:00,2022-01-01 23:59:40
